;Unnamed: 0;valor_total_conta;valor_gorjeta;sobremesa;dia_da_semana;tipo_refeicao;quantidade_pessoas;porcentagem
38;38;18.69;2.31;Não;Sab;Jantar;3;0.12
39;39;31.27;5.0;Não;Sab;Jantar;3;0.16
40;40;16.04;2.24;Não;Sab;Jantar;3;0.14
41;41;17.46;2.54;Não;Dom;Jantar;2;0.15
42;42;13.94;3.06;Não;Dom;Jantar;2;0.22
43;43;9.68;1.32;Não;Dom;Jantar;2;0.14
44;44;30.4;5.6;Não;Dom;Jantar;4;0.18
45;45;18.29;3.0;Não;Dom;Jantar;2;0.16
46;46;22.23;5.0;Não;Dom;Jantar;2;0.22
47;47;32.4;6.0;Não;Dom;Jantar;4;0.19
48;48;28.55;2.05;Não;Dom;Jantar;3;0.07
49;49;18.04;3.0;Não;Dom;Jantar;2;0.17
50;50;12.54;2.5;Não;Dom;Jantar;2;0.2
51;51;10.29;2.6;Não;Dom;Jantar;2;0.25
52;52;34.81;5.2;Não;Dom;Jantar;4;0.15
53;53;9.94;1.56;Não;Dom;Jantar;2;0.16
54;54;25.56;4.34;Não;Dom;Jantar;4;0.17
55;55;19.49;3.51;Não;Dom;Jantar;2;0.18
56;56;38.01;3.0;Sim;Sab;Jantar;4;0.08
57;57;26.41;1.5;Não;Sab;Jantar;2;0.06
58;58;11.24;1.76;Sim;Sab;Jantar;2;0.16
59;59;48.27;6.73;Não;Sab;Jantar;4;0.14
60;60;20.29;3.21;Sim;Sab;Jantar;2;0.16
61;61;13.81;2.0;Sim;Sab;Jantar;2;0.14
62;62;11.02;1.98;Sim;Sab;Jantar;2;0.18
63;63;18.29;3.76;Sim;Sab;Jantar;4;0.21
64;64;17.59;2.64;Não;Sab;Jantar;3;0.15
65;65;20.08;3.15;Não;Sab;Jantar;3;0.16
66;66;16.45;2.47;Não;Sab;Jantar;2;0.15
67;67;3.07;1.0;Sim;Sab;Jantar;1;0.33
68;68;20.23;2.01;Não;Sab;Jantar;2;0.1
69;69;15.01;2.09;Sim;Sab;Jantar;2;0.14
70;70;12.02;1.97;Não;Sab;Jantar;2;0.16
71;71;17.07;3.0;Não;Sab;Jantar;3;0.18
72;72;26.86;3.14;Sim;Sab;Jantar;2;0.12
73;73;25.28;5.0;Sim;Sab;Jantar;2;0.2
74;74;14.73;2.2;Não;Sab;Jantar;2;0.15
75;75;10.51;1.25;Não;Sab;Jantar;2;0.12
76;76;17.92;3.08;Sim;Sab;Jantar;2;0.17
77;77;27.2;4.0;Não;Qui;Almoço;4;0.15
78;78;22.76;3.0;Não;Qui;Almoço;2;0.13
79;79;17.29;2.71;Não;Qui;Almoço;2;0.16
80;80;19.44;3.0;Sim;Qui;Almoço;2;0.15
81;81;16.66;3.4;Não;Qui;Almoço;2;0.2
82;82;10.07;1.83;Não;Qui;Almoço;1;0.18
83;83;32.68;5.0;Sim;Qui;Almoço;2;0.15
84;84;15.98;2.03;Não;Qui;Almoço;2;0.13
85;85;34.83;5.17;Não;Qui;Almoço;4;0.15
86;86;13.03;2.0;Não;Qui;Almoço;2;0.15
87;87;18.28;4.0;Não;Qui;Almoço;2;0.22
88;88;24.71;5.85;Não;Qui;Almoço;2;0.24
89;89;21.16;3.0;Não;Qui;Almoço;2;0.14
90;90;28.97;3.0;Sim;Sex;Jantar;2;0.1
91;91;22.49;3.5;Não;Sex;Jantar;2;0.16
92;92;5.75;1.0;Sim;Sex;Jantar;2;0.17
93;93;16.32;4.3;Sim;Sex;Jantar;2;0.26
94;94;22.75;3.25;Não;Sex;Jantar;2;0.14
95;95;40.17;4.73;Sim;Sex;Jantar;4;0.12
96;96;27.28;4.0;Sim;Sex;Jantar;2;0.15
97;97;12.03;1.5;Sim;Sex;Jantar;2;0.12
98;98;21.01;3.0;Sim;Sex;Jantar;2;0.14
99;99;12.46;1.5;Não;Sex;Jantar;2;0.12
100;100;11.35;2.5;Sim;Sex;Jantar;2;0.22
101;101;15.38;3.0;Sim;Sex;Jantar;2;0.2
102;102;44.3;2.5;Sim;Sab;Jantar;3;0.06
103;103;22.42;3.48;Sim;Sab;Jantar;2;0.16
104;104;20.92;4.08;Não;Sab;Jantar;2;0.2
105;105;15.36;1.64;Sim;Sab;Jantar;2;0.11
106;106;20.49;4.06;Sim;Sab;Jantar;2;0.2
107;107;25.21;4.29;Sim;Sab;Jantar;2;0.17
108;108;18.24;3.76;Não;Sab;Jantar;2;0.21
109;109;14.31;4.0;Sim;Sab;Jantar;2;0.28
110;110;14.0;3.0;Não;Sab;Jantar;2;0.21
111;111;7.25;1.0;Não;Sab;Jantar;1;0.14
112;112;38.07;4.0;Não;Dom;Jantar;3;0.11
113;113;23.95;2.55;Não;Dom;Jantar;2;0.11
114;114;25.71;4.0;Não;Dom;Jantar;3;0.16
115;115;17.31;3.5;Não;Dom;Jantar;2;0.2
116;116;29.93;5.07;Não;Dom;Jantar;4;0.17
117;117;10.65;1.5;Não;Qui;Almoço;2;0.14
118;118;12.43;1.8;Não;Qui;Almoço;2;0.14
119;119;24.08;2.92;Não;Qui;Almoço;4;0.12
120;120;11.69;2.31;Não;Qui;Almoço;2;0.2
121;121;13.42;1.68;Não;Qui;Almoço;2;0.13
122;122;14.26;2.5;Não;Qui;Almoço;2;0.18
123;123;15.95;2.0;Não;Qui;Almoço;2;0.13
124;124;12.48;2.52;Não;Qui;Almoço;2;0.2
125;125;29.8;4.2;Não;Qui;Almoço;6;0.14
126;126;8.52;1.48;Não;Qui;Almoço;2;0.17
127;127;14.52;2.0;Não;Qui;Almoço;2;0.14
128;128;11.38;2.0;Não;Qui;Almoço;2;0.18
129;129;22.82;2.18;Não;Qui;Almoço;3;0.1
130;130;19.08;1.5;Não;Qui;Almoço;2;0.08
131;131;20.27;2.83;Não;Qui;Almoço;2;0.14
132;132;11.17;1.5;Não;Qui;Almoço;2;0.13
133;133;12.26;2.0;Não;Qui;Almoço;2;0.16
134;134;18.26;3.25;Não;Qui;Almoço;2;0.18
135;135;8.51;1.25;Não;Qui;Almoço;2;0.15
136;136;10.33;2.0;Não;Qui;Almoço;2;0.19
137;137;14.15;2.0;Não;Qui;Almoço;2;0.14
138;138;16.0;2.0;Sim;Qui;Almoço;2;0.12
139;139;13.16;2.75;Não;Qui;Almoço;2;0.21
140;140;17.47;3.5;Não;Qui;Almoço;2;0.2
141;141;34.3;6.7;Não;Qui;Almoço;6;0.2
142;142;41.19;5.0;Não;Qui;Almoço;5;0.12
143;143;27.05;5.0;Não;Qui;Almoço;6;0.18
144;144;16.43;2.3;Não;Qui;Almoço;2;0.14
145;145;8.35;1.5;Não;Qui;Almoço;2;0.18
146;146;18.64;1.36;Não;Qui;Almoço;3;0.07
147;147;11.87;1.63;Não;Qui;Almoço;2;0.14
148;148;9.78;1.73;Não;Qui;Almoço;2;0.18
149;149;7.51;2.0;Não;Qui;Almoço;2;0.27
150;150;14.07;2.5;Não;Dom;Jantar;2;0.18
151;151;13.13;2.0;Não;Dom;Jantar;2;0.15
152;152;17.26;2.74;Não;Dom;Jantar;3;0.16
153;153;24.55;2.0;Não;Dom;Jantar;4;0.08
154;154;19.77;2.0;Não;Dom;Jantar;4;0.1
155;155;29.85;5.14;Não;Dom;Jantar;5;0.17
156;156;48.17;5.0;Não;Dom;Jantar;6;0.1
157;157;25.0;3.75;Não;Dom;Jantar;4;0.15
158;158;13.39;2.61;Não;Dom;Jantar;2;0.19
159;159;16.49;2.0;Não;Dom;Jantar;4;0.12
160;160;21.5;3.5;Não;Dom;Jantar;4;0.16
161;161;12.66;2.5;Não;Dom;Jantar;2;0.2
162;162;16.21;2.0;Não;Dom;Jantar;3;0.12
163;163;13.81;2.0;Não;Dom;Jantar;2;0.14
164;164;17.51;3.0;Sim;Dom;Jantar;2;0.17
165;165;24.52;3.48;Não;Dom;Jantar;3;0.14
166;166;20.76;2.24;Não;Dom;Jantar;2;0.11
167;167;31.71;4.5;Não;Dom;Jantar;4;0.14
168;168;10.59;1.61;Sim;Sab;Jantar;2;0.15
169;169;10.63;2.0;Sim;Sab;Jantar;2;0.19
170;170;50.81;10.0;Sim;Sab;Jantar;3;0.2
171;171;15.81;3.16;Sim;Sab;Jantar;2;0.2
172;172;7.25;5.15;Sim;Dom;Jantar;2;0.71
173;173;31.85;3.18;Sim;Dom;Jantar;2;0.1
174;174;16.82;4.0;Sim;Dom;Jantar;2;0.24
175;175;32.9;3.11;Sim;Dom;Jantar;2;0.09
176;176;17.89;2.0;Sim;Dom;Jantar;2;0.11
177;177;14.48;2.0;Sim;Dom;Jantar;2;0.14
178;178;9.6;4.0;Sim;Dom;Jantar;2;0.42
179;179;34.63;3.55;Sim;Dom;Jantar;2;0.1
180;180;34.65;3.68;Sim;Dom;Jantar;4;0.11
181;181;23.33;5.65;Sim;Dom;Jantar;2;0.24
182;182;45.35;3.5;Sim;Dom;Jantar;3;0.08
183;183;23.17;6.5;Sim;Dom;Jantar;4;0.28
184;184;40.55;3.0;Sim;Dom;Jantar;2;0.07
185;185;20.69;5.0;Não;Dom;Jantar;5;0.24
186;186;20.9;3.5;Sim;Dom;Jantar;3;0.17
187;187;30.46;2.0;Sim;Dom;Jantar;5;0.07
188;188;18.15;3.5;Sim;Dom;Jantar;3;0.19
189;189;23.1;4.0;Sim;Dom;Jantar;3;0.17
190;190;15.69;1.5;Sim;Dom;Jantar;2;0.1
191;191;19.81;4.19;Sim;Qui;Almoço;2;0.21
192;192;28.44;2.56;Sim;Qui;Almoço;2;0.09
193;193;15.48;2.02;Sim;Qui;Almoço;2;0.13
194;194;16.58;4.0;Sim;Qui;Almoço;2;0.24
195;195;7.56;1.44;Não;Qui;Almoço;2;0.19
196;196;10.34;2.0;Sim;Qui;Almoço;2;0.19
197;197;43.11;5.0;Sim;Qui;Almoço;4;0.12
198;198;13.0;2.0;Sim;Qui;Almoço;2;0.15
199;199;13.51;2.0;Sim;Qui;Almoço;2;0.15
200;200;18.71;4.0;Sim;Qui;Almoço;3;0.21
201;201;12.74;2.01;Sim;Qui;Almoço;2;0.16
202;202;13.0;2.0;Sim;Qui;Almoço;2;0.15
203;203;16.4;2.5;Sim;Qui;Almoço;2;0.15
204;204;20.53;4.0;Sim;Qui;Almoço;4;0.19
205;205;16.47;3.23;Sim;Qui;Almoço;3;0.2
206;206;26.59;3.41;Sim;Sab;Jantar;3;0.13
207;207;38.73;3.0;Sim;Sab;Jantar;4;0.08
208;208;24.27;2.03;Sim;Sab;Jantar;2;0.08
209;209;12.76;2.23;Sim;Sab;Jantar;2;0.17
210;210;30.06;2.0;Sim;Sab;Jantar;3;0.07
211;211;25.89;5.16;Sim;Sab;Jantar;4;0.2
212;212;48.33;9.0;Não;Sab;Jantar;4;0.19
213;213;13.27;2.5;Sim;Sab;Jantar;2;0.19
214;214;28.17;6.5;Sim;Sab;Jantar;3;0.23
215;215;12.9;1.1;Sim;Sab;Jantar;2;0.09
216;216;28.15;3.0;Sim;Sab;Jantar;5;0.11
217;217;11.59;1.5;Sim;Sab;Jantar;2;0.13
218;218;7.74;1.44;Sim;Sab;Jantar;2;0.19
219;219;30.14;3.09;Sim;Sab;Jantar;4;0.1
220;220;12.16;2.2;Sim;Sex;Almoço;2;0.18
221;221;13.42;3.48;Sim;Sex;Almoço;2;0.26
222;222;8.58;1.92;Sim;Sex;Almoço;1;0.22
223;223;15.98;3.0;Não;Sex;Almoço;3;0.19
224;224;13.42;1.58;Sim;Sex;Almoço;2;0.12
225;225;16.27;2.5;Sim;Sex;Almoço;2;0.15
226;226;10.09;2.0;Sim;Sex;Almoço;2;0.2
227;227;20.45;3.0;Não;Sab;Jantar;4;0.15
228;228;13.28;2.72;Não;Sab;Jantar;2;0.2
229;229;22.12;2.88;Sim;Sab;Jantar;2;0.13
230;230;24.01;2.0;Sim;Sab;Jantar;4;0.08
231;231;15.69;3.0;Sim;Sab;Jantar;3;0.19
232;232;11.61;3.39;Não;Sab;Jantar;2;0.29
233;233;10.77;1.47;Não;Sab;Jantar;2;0.14
234;234;15.53;3.0;Sim;Sab;Jantar;2;0.19
235;235;10.07;1.25;Não;Sab;Jantar;2;0.12
236;236;12.6;1.0;Sim;Sab;Jantar;2;0.08
237;237;32.83;1.17;Sim;Sab;Jantar;2;0.04
238;238;35.83;4.67;Não;Sab;Jantar;3;0.13
239;239;29.03;5.92;Não;Sab;Jantar;3;0.2
240;240;27.18;2.0;Sim;Sab;Jantar;2;0.07
241;241;22.67;2.0;Sim;Sab;Jantar;2;0.09
242;242;17.82;1.75;Não;Sab;Jantar;2;0.1
243;243;18.78;3.0;Não;Qui;Jantar;2;0.16
